# MO binding energies read from G09 output
# [32.779024, 1.933413, 0.851213, 0.851213, 0.851213]
# MO kinetic energies read from G09 output
# [46.26398, 5.215104, 4.254433, 4.254433, 4.254433]
# Incident electron energy [eV] | Total Sigma | Sigmas [Angstrom^2] (core electrons first)
41.0 0.8979191296883908 0.0 0.0 0.29930637656279696 0.29930637656279696 0.29930637656279696
42.0 0.9194813745344771 0.0 0.0 0.30649379151149236 0.30649379151149236 0.30649379151149236
43.0 0.9394197968647311 0.0 0.0 0.3131399322882437 0.3131399322882437 0.3131399322882437
44.0 0.9578569423276013 0.0 0.0 0.3192856474425338 0.3192856474425338 0.3192856474425338
45.0 0.9749047195925244 0.0 0.0 0.32496823986417483 0.32496823986417483 0.32496823986417483
46.0 0.9906654473663838 0.0 0.0 0.3302218157887946 0.3302218157887946 0.3302218157887946
47.0 1.0052327882188843 0.0 0.0 0.33507759607296145 0.33507759607296145 0.33507759607296145
48.0 1.0186925821038397 0.0 0.0 0.33956419403461324 0.33956419403461324 0.33956419403461324
49.0 1.0311235910219794 0.0 0.0 0.3437078636739931 0.3437078636739931 0.3437078636739931
50.0 1.042598164960572 0.0 0.0 0.347532721653524 0.347532721653524 0.347532721653524
51.0 1.053182838066675 0.0 0.0 0.351060946022225 0.351060946022225 0.351060946022225
52.0 1.0629388629589591 0.0 0.0 0.35431295431965304 0.35431295431965304 0.35431295431965304
53.0 1.0763236120461321 0.0 0.004400921896757713 0.3573075633831248 0.3573075633831248 0.3573075633831248
54.0 1.0954098897687885 0.0 0.01522349104843217 0.3600621329067854 0.3600621329067854 0.3600621329067854
54.99999999999999 1.1131633842192858 0.0 0.025385300543838817 0.36259269455848236 0.36259269455848236 0.36259269455848236
56.0 1.1296758707558874 0.0 0.03493366601518712 0.3649140682469001 0.3649140682469001 0.3649140682469001
57.00000000000001 1.1450317357009343 0.0 0.0439118348695404 0.367039966943798 0.367039966943798 0.367039966943798
58.0 1.1593086705048052 0.0 0.05235939660051437 0.36898309130143025 0.36898309130143025 0.36898309130143025
59.0 1.1725782911469145 0.0 0.060312645665066444 0.370755215160616 0.370755215160616 0.370755215160616
59.99999999999999 1.1849066918477424 0.0 0.0678049030938024 0.37236726291798 0.37236726291798 0.37236726291798
61.0 1.1963549409427783 0.0 0.07486680211441213 0.3738293796094554 0.3738293796094554 0.3738293796094554
62.00000000000001 1.2069795257270317 0.0 0.08152654231922586 0.37515099446926864 0.37515099446926864 0.37515099446926864
63.0 1.2168327521883966 0.0 0.08781011627550488 0.3763408786376306 0.3763408786376306 0.3763408786376306
64.0 1.225963104785593 0.0 0.09374151194135844 0.37740719761474484 0.37740719761474484 0.37740719761474484
65.0 1.2344155707716928 0.0 0.09934289379509995 0.3783575589921976 0.3783575589921976 0.3783575589921976
66.0 1.2422319330008442 0.0 0.10463476519825367 0.37919905593419684 0.37919905593419684 0.37919905593419684
67.0 1.2494510346698122 0.0 0.10963611418143404 0.3799383068294594 0.3799383068294594 0.3799383068294594
68.0 1.256109019025859 0.0 0.11436454455898232 0.38058149148895887 0.38058149148895887 0.38058149148895887
69.0 1.2622395467085599 0.0 0.11883639403510379 0.3811343842244853 0.3811343842244853 0.3811343842244853
70.0 1.2678739930771734 0.0 0.12306684075511944 0.3816023841073513 0.3816023841073513 0.3816023841073513
71.0 1.2730416276003875 0.0 0.12706999957515994 0.3819905426750759 0.3819905426750759 0.3819905426750759
72.0 1.2777697771456795 0.0 0.1308590091678675 0.38230358932593733 0.38230358932593733 0.38230358932593733
73.0 1.2820839747963713 0.0 0.13444611094681172 0.38254595461651986 0.38254595461651986 0.38254595461651986
74.0 1.2860080956414326 0.0 0.1378427206753166 0.382721791655372 0.382721791655372 0.382721791655372
75.0 1.2895644808226912 0.0 0.14105949352367864 0.38283499576633745 0.38283499576633745 0.38283499576633745
