# MO binding energies read from G09 output
# [19.031664, 1.192481, 0.686526, 0.542745, 0.469827]
# MO kinetic energies read from G09 output
# [29.006738, 2.599754, 1.843595, 2.229631, 2.269655]
# Incident electron energy [eV] | Total Sigma | Sigmas [Angstrom^2] (core electrons first)
54.0 2.215888084629917 0.0 0.09466300756850768 0.48164256218468326 0.7140905381168965 0.9254919767598295
54.99999999999999 2.233816816406339 0.0 0.09802329906577202 0.4866198474861394 0.7189898063659862 0.9301838634884413
56.0 2.2507974713412144 0.0 0.10128487124330893 0.4913442287449602 0.723605566596228 0.9345628047567175
57.00000000000001 2.2668739558967177 0.0 0.10444993038008317 0.4958275757864862 0.7279517188642424 0.9386447308659062
58.0 2.282087901209242 0.0 0.10752076150600516 0.5000811252037743 0.7320413745190881 0.9424446399803743
59.0 2.296478789347622 0.0 0.11049970121501139 0.504115517478874 0.7358869083782891 0.9459766622754475
59.99999999999999 2.310084073355624 0.0 0.11338911535276301 0.5079408319968002 0.7395000070122648 0.949254118993796
61.0 2.322939291082318 0.0 0.11619138075879859 0.5115666200147546 0.7428917134465102 0.9522895768622549
62.00000000000001 2.335078172893522 0.0 0.11890887038416009 0.5150019356640652 0.7460724685674032 0.9550948982778934
63.0 2.3465327434213927 0.0 0.1215439412212568 0.5182553650717812 0.7490521494951533 0.9576812876332015
64.0 2.357333417553555 0.0 0.12409892457785883 0.5213350536942561 0.7518401051663098 0.96005933411513
65.0 2.3675090908924425 0.0 0.12657611830549234 0.5242487319574228 0.7544451893484958 0.9622390512810318
66.0 2.3770872249336046 0.0 0.1289777806572368 0.5270037392986422 0.7568757912916981 0.9642299136860277
67.0 2.3860939272211144 0.0 0.13130612550350196 0.529607046703582 0.7591398642034394 0.9660408908105911
68.0 2.394554026741365 0.0 0.1335633186788029 0.5320652778290411 0.7612449517195082 0.967680478514013
69.0 2.4024911448148747 0.0 0.13575147526948558 0.5343847287993189 0.763198212527522 0.9691567282185481
70.0 2.4099277617406853 0.0 0.1378726576831125 0.5365713867599271 0.7650064432873831 0.9704772740102625
71.0 2.416885279440476 0.0 0.13992887436587928 0.5386309472683286 0.7666760999805993 0.9716493578256685
72.0 2.4233840803403615 0.0 0.1419220790558701 0.5405688305971355 0.7682133178093679 0.9726798528779881
73.0 2.4294435827181333 0.0 0.1438541704779119 0.5423901970209143 0.7696239297562176 0.9735752854630892
74.0 2.435082292732836 0.0 0.14572699240082734 0.5440999611534993 0.770913483905762 0.9743418552727475
75.0 2.4403178533424184 0.0 0.14754233399051642 0.5457028053985772 0.7720872596216983 0.9749854543316261
76.0 2.4451670903039533 0.0 0.1493019304029123 0.5472031925723067 0.7731502826644888 0.9755116846642453
77.0 2.449646055439871 0.0 0.15100746356978628 0.5486053777529154 0.7741073393281473 0.9759258747890218
78.0 2.453770067342768 0.0 0.15266056313790555 0.5499134194085632 0.7749629896681443 0.9762330951281549
79.0 2.457553749680932 0.0 0.15426280752838772 0.5511311898513267 0.7757215798866118 0.9764381724146056
80.0 2.461011067256627 0.0 0.15581572508845837 0.5522623850618967 0.7763872539356795 0.9765457031705922
81.0 2.4641553599596127 0.0 0.157320795312334 0.5533105339265364 0.7769639643949149 0.9765600663258274
82.0 2.466999374749242 0.0 0.15877945011178124 0.5542790069249769 0.7774554826743854 0.9764854350380983
83.0 2.4695552957898714 0.0 0.16019307512013167 0.5551710243052598 0.7778654085907968 0.9763257877736832
84.0 2.4718347728561683 0.0 0.16156301101626866 0.5559896637790307 0.7781971793604401 0.9760849187004288
85.0 2.47384894811726 0.0 0.16289055485741377 0.5567378677684622 0.7784540780492905 0.9757664474420938
86.0 2.4756084814014936 0.0 0.16417696141149815 0.5574184502338235 0.778639241517475 0.975373828238697
87.0 2.477123574036816 0.0 0.1654234444815602 0.558034103108687 0.7787556678924907 0.9749103585540784
88.0 2.478403991355529 0.0 0.16663117821601028 0.5585874023678983 0.7788062236029359 0.9743791871686845
89.0 2.479459083946243 0.0 0.16780129839978777 0.5590808137516959 0.7787936500021261 0.9737833217926336
90.0 2.480297807730398 0.0 0.1689349037224341 0.5595166981677445 0.7787205696087734 0.9731256362314458
91.0 2.480928742935555 0.0 0.1700330570199504 0.5598973167913551 0.7785894919898895 0.97240887713436
92.0 2.4813601120329185 0.0 0.17109678648801746 0.560224835882772 0.778402819309222 0.9716356703529072
93.0 2.4815997967020613 0.0 0.1721270868647554 0.5605013313391117 0.7781628515628425 0.9708085269353517
94.0 2.4816553538816835 0.0 0.17312492058170129 0.5607287929973469 0.7778717915219183 0.9699298487807168
